date,value
2025-06-07 00:00:00,154530.0
2025-06-08 00:00:00,161314.0
2025-06-09 00:00:00,169841.0
2025-06-10 00:00:00,174930.0
2025-06-11 00:00:00,139409.0
2025-06-12 00:00:00,154996.0
2025-06-13 00:00:00,162789.0
2025-06-14 00:00:00,160251.0
2025-06-15 00:00:00,101267.0
2025-06-16 00:00:00,91974.0
2025-06-17 00:00:00,73924.0
2025-06-18 00:00:00,3.0
2025-06-19 00:00:00,46625.0
2025-06-20 00:00:00,135605.0
2025-06-21 00:00:00,162422.0
2025-06-22 00:00:00,59092.0
2025-06-23 00:00:00,110473.0
2025-06-24 00:00:00,0.0
2025-06-25 00:00:00,7.0
2025-06-26 00:00:00,0.0
2025-06-27 00:00:00,199994.0
2025-06-28 00:00:00,124519.0
2025-06-29 00:00:00,64649.0
2025-06-30 00:00:00,53053.0
